site_no,site_name,timestamp_utc,flow_cfs,latitude,longitude
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 18:30:00+00:00,372.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 18:45:00+00:00,367.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 19:00:00+00:00,367.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 19:15:00+00:00,367.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 19:30:00+00:00,367.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 19:45:00+00:00,367.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 20:00:00+00:00,363.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 20:15:00+00:00,363.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 20:30:00+00:00,363.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 20:45:00+00:00,363.0,37.31805556,-77.8016667
2040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO, VA",2025-12-03 21:00:00+00:00,363.0,37.31805556,-77.8016667
